Jacinto Leff;f;1118;Bugatti;51.152;87.609;64.039;64.537;95.821
Yee Slater;f;1476;Mercedes;65.141;82.796;84.941;56.383;79.503
Gomes Loretta;m;1110;Nissan;51.851;81.112;50.534;90.077;52.657
Hannaford xBrooks;m;1074;Koenigsegg;60.258;80.633;82.071;51.862;50.876
Fredricka Gomes;f;1863;Koenigsegg;70.349;87.544;86.487;76.467;51.879
Edney Edney;m;1269;Audi;87.258;88.33;87.554;80.973;80.833
Shawn Emerald;f;1627;Porsche;81.778;98.007;72.192;63.743;88.985
Michele Stacks;f;1108;Koenigsegg;94.254;85.089;84.375;92.684;50.933
Jami Loretta;f;1012;Audi;68.986;92.724;94.779;65.666;84.787
Abby Spencer;f;1624;Alpine;98.278;88.52;57.709;92.15;68.739
Nannette Terra;f;1184;Alpine;58.261;58.91;57.633;66.826;53.799
Charise Auslander;f;1030;Porsche;70.756;99.758;55.754;85.868;71.674
Perera Boothe;m;1466;Koenigsegg;92.453;66.681;57.601;60.319;54.925
Edney Tonette;m;1836;Ferrari;74.705;81.494;79.193;52.613;73.78
Winebrenner Cramer;m;1327;Mercedes;63.746;62.356;55.487;55.287;86.523
Eddy Emerald;f;1887;Abarth;60.303;67.24;56.571;54.288;82.032
Barcomb Flanary;m;1463;Abarth;50.69;81.19;68.127;80.403;77.726
Terra Maynard;f;1791;Bugatti;58.803;63.42;67.081;72.702;73.106
Dewitt Fasching;f;1138;Mercedes;61.078;94.093;83.677;58.992;95.864
Legault Murtagh;m;1829;Koenigsegg;87.663;70.006;59.28;90.779;76.274
Wenger Bowyer;m;1363;Lamborghini;94.055;93.554;86.15;78.123;57.866
Hoey Frances;m;1898;Mercedes;89.234;56.693;52.454;56.255;73.991
Willard Auslander;m;1896;Porsche;72.26;92.942;78.844;99.888;69.587
Cambra Brooks;m;1729;Bugatti;70.61;77.292;70.781;62.567;89.091
Mcgeehan Loretta;m;1592;Mercedes;94.08;62.718;58.287;77.607;55.001
Carlita Matilda;f;1911;Koenigsegg;95.58;65.441;99.498;54.743;97.648
Emerald Hoey;f;1367;Mercedes;57.571;76.221;81.173;64.718;71.967
Karen Eddy;f;1478;Chevrolet;98.598;89.487;86.662;88.141;66.003
Pfister Winebrenner;m;1926;Chevrolet;91.918;57.645;52.481;69.719;77.016
Crooks Bengtson;m;1182;Nissan;98.981;99.606;64.355;73.671;94.659
Carlita Hanlon;f;1761;Lamborghini;82.342;75.963;90.564;59.945;94.585
Lissa Vogt;f;1515;Audi;99.784;61.283;93.526;87.58;82.605
Tora Cambra;f;1759;McLaren;66.156;67.518;79.171;77.942;84.144
Emerald Lissa;f;1820;Mazda;76.563;85.782;95.184;84.276;71.33
Petrus Tonette;m;1035;Nissan;63.408;63.817;95.073;97.083;54.442
Timpson Yee;m;1419;Porsche;98.609;78.9;83.05;61.168;73.848
Karen Hoey;f;1523;Bugatti;68.95;83.279;88.328;83.196;74.452
Fasching Terra;m;1762;Abarth;86.06;92.836;88.1;63.383;63.391
Winebrenner Felisa;m;1973;BMW;82.624;75.293;73.882;69.859;75.147
Mazie Vogt;f;1155;Mazda;65.454;86.882;67.306;82.71;66.094
Voisin Amburn;m;1751;Mercedes;90.428;66.316;52.086;69.691;69.598
Stacks Frances;m;1822;Lamborghini;95.753;67.815;96.344;72.24;61.323
Perera Karen;m;1574;Mazda;95.461;69.492;75.357;81.427;58.901
Tora Bengtson;f;1819;Lamborghini;62.824;75.326;97.473;81.658;66.5
Alice Charise;f;1300;Chevrolet;76.475;91.474;64.036;70.198;89.981
Terra Carmelina;f;1661;Mercedes;99.43;54.825;52.012;57.602;81.554
Terra Cyrstal;f;1884;Bugatti;96.445;67.905;92.577;92.64;87.269
Delnero Wischmeier;m;1614;Koenigsegg;64.864;72.403;89.621;86.945;97.285
Afton Bengtson;f;1681;Porsche;89.072;93.776;61.885;64.512;57.044
Alice Brooks;f;1759;Chevrolet;51.036;95.766;76.503;69.384;67.907
Wenger Michele;m;1947;Mazda;78.409;77.781;59.201;78.119;58.625
Abby Lissa;f;1793;Abarth;75.031;92.343;74.856;79.642;75.991
Carleen Faw;f;1149;Ferrari;85.917;56.037;73.393;64.575;94.962
Stacks Wilford;m;1218;Chevrolet;81.126;53.346;88.543;77.677;78.69
Dewitt Bengtson;f;1232;Ford;76.112;95.491;89.015;87.391;76.777
Jami Petrus;f;1932;Bugatti;53.599;85.105;76.222;94.601;65.779
Huss Amburn;m;1464;Mercedes;99.093;81.422;55.302;66.275;59.075
Yee Fasching;f;1113;Koenigsegg;67.186;70.867;66.033;60.816;78.604
Santos Edney;f;1804;Lamborghini;51.916;58.137;56.568;94.482;80.85
Carmelina Abby;f;1505;Abarth;94.107;57.613;75.591;56.352;84.477
Afton Cyrstal;f;1898;Abarth;72.793;67.658;61.91;85.648;94.523
Mazie Major;f;1748;Abarth;84.064;94.579;58.675;79.123;98.984
Tonette Auslander;f;1512;Ford;64.03;50.511;99.765;54.823;62.026
Edney Hannaford;m;1694;Nissan;90.678;82.176;61.228;70.628;61.349
Bowyer Slater;m;1972;Mercedes;78.384;84.777;89.454;83.449;88.325
Nicola Marcus;m;1887;Mazda;68.357;74.035;90.712;55.341;94.838
Major Loretta;f;1971;Ford;71.774;95.793;79.748;93.876;94.782
Amburn Pfister;m;1958;McLaren;70.345;61.126;65.644;94.569;61.364
Flanary Fasching;m;1966;Abarth;64.377;96.858;61.339;55.038;61.217
Tonette Brooks;f;1345;Ferrari;65.469;70.187;83.775;78.446;54.296
Jesse Cambra;f;1640;Koenigsegg;65.022;66.524;68.654;59.884;70.732
Nicola Lissa;m;1260;Porsche;98.922;55.808;83.141;52.781;82.934
Rema Voisin;f;1494;Lamborghini;55.459;93.914;86.168;92.831;55.702
Carmelina Terra;f;1022;Audi;96.968;82.465;94.154;65.025;87.948
Minta Petrus;f;1102;Koenigsegg;78.61;81.372;56.375;89.373;67.335
Boothe Monica;m;1277;Ford;98.621;93.449;65.878;57.662;52.634
Essie Willard;f;1482;McLaren;57.087;74.283;56.438;72.155;61.825
Margarett Amburn;f;1689;Mazda;83.66;87.623;91.474;65.131;98.521
Winebrenner Wygant;m;1937;Chevrolet;50.769;71.719;64.931;60.949;84.384
Delnero Murtagh;m;1416;Lamborghini;94.881;69.655;85.364;98.687;94.868
Hoey Willard;m;1087;Mercedes;83.521;63.252;77.992;61.79;98.867
Matilda Carlita;f;1025;Audi;60.466;90.153;95.163;91.201;88.615
Norris Faw;f;1468;Bugatti;89.734;98.047;55.587;63.438;63.838
Lissa Dewitt;f;1749;Alpine;51.87;69.28;96.517;95.333;83.889
Marcus Afton;f;1307;Bugatti;88.72;74.366;87.721;55.548;88.391
Willard Slater;m;1209;Bugatti;89.9;57.676;64.814;80.678;85.003
Hannaford Rema;m;1565;Abarth;79.522;61.321;80.063;94.128;73.237
Nannette Auslander;f;1939;Ferrari;63.938;78.122;50.38;93.515;58.233
Pfister Danille;m;1091;Ferrari;57.865;98.498;51.253;84.048;67.436
Major Frances;f;1088;BMW;51.629;75.371;72.865;95.212;56.754
Devalle Stacks;m;1751;Ford;51.413;79.489;56.24;97.938;53.203
Terra Afton;f;1905;Abarth;61.759;64.721;93.61;88.282;78.693
Hoey Emerald;m;1185;Lamborghini;91.591;55.526;86.136;69.166;58.444
Bengtson Rhett;m;1246;Nissan;83.018;66.593;59.874;69.558;71.312
Camille Edney;f;1969;Koenigsegg;95.513;85.693;72.191;64.597;54.811
Wischmeier Margarett;m;1612;Audi;84.943;65.103;60.389;78.558;94.398
Mcnair Delnero;m;1811;Lamborghini;71.651;80.885;63.886;66.814;65.443
Alice Petrus;f;1226;Ford;98.937;50.457;98.752;79.142;98.272
Murtagh Mack;m;1159;Audi;98.136;84.157;90.483;95.524;66.561
Tora Boothe;f;1705;Bugatti;92.451;96.844;86.529;55.254;73.503
